book_name,book1,book2,book3,book4,book5,book6,book7,book8,book9,book10
Magic Study (Study  #2)	,  Poison Study (Study  #1) - 74.12, Fire Study (Study  #3) - 53.30, The Hunger Games (The Hunger Games  #1) - 35.92, City of Bones (The Mortal Instruments  #1) - 29.55, Catching Fire (The Hunger Games  #2) - 26.78, Graceling (Graceling Realm  #1) - 22.37, Hush - Hush (Hush - Hush  #1) - 20.23, The Host (The Host  #1) - 16.45, The Maze Runner (Maze Runner  #1) - 18.20, Shiver (The Wolves of Mercy Falls  #1) - 17.03 
Magic for Beginners	,  The Hunger Games (The Hunger Games  #1) - 64.58, Catching Fire (The Hunger Games  #2) - 30.54, The Magicians (The Magicians #1) - 19.49, Cloud Atlas - 14.84, The Book Thief - 13.60, The Graveyard Book - 11.54, Paper Towns - 10.06, American Gods (American Gods  #1) - 8.88, The Road - 5.77, The Name of the Wind (The Kingkiller Chronicle  #1) - 5.45 
Magic to the Bone (Allie Beckstrom  #1)	,  Rosemary and Rue (October Daye  #1) - 55.00, Darkfever (Fever  #1) - 47.90, City of Bones (The Mortal Instruments  #1) - 49.66, Magic Bites (Kate Daniels  #1) - 41.16, Magic Strikes (Kate Daniels  #3) - 42.59, Magic Burns (Kate Daniels  #2) - 42.04, The Hunger Games (The Hunger Games  #1) - 38.22, Magic Bleeds (Kate Daniels  #4) - 32.64, Soulless (Parasol Protectorate  #1) - 30.88, On the Edge (The Edge  #1) - 32.70 
Magician (The Riftwar Saga  #1-2)	,  The Name of the Wind (The Kingkiller Chronicle  #1) - 76.92, The Hunger Games (The Hunger Games  #1) - 73.08, The Wise Man's Fear (The Kingkiller Chronicle  #2) - 67.31, A Game of Thrones (A Song of Ice and Fire  #1) - 35.41, The Lies of Locke Lamora (Gentleman Bastard  #1) - 30.21, American Gods (American Gods  #1) - 0.00, The Final Empire (Mistborn  #1) - 0.00, Catching Fire (The Hunger Games  #2) - 0.00 
Magician: Apprentice (The Riftwar Saga  #1)	,  The Name of the Wind (The Kingkiller Chronicle  #1) - 66.67, A Game of Thrones (A Song of Ice and Fire  #1) - 64.72, The Hunger Games (The Hunger Games  #1) - 51.62, Ender's Game (Ender's Saga  #1) - 42.05, The Final Empire (Mistborn  #1) - 26.59, The Wise Man's Fear (The Kingkiller Chronicle  #2) - 26.61, The Hero of Ages (Mistborn  #3) - 26.10, American Gods (American Gods  #1) - 24.56, Assassin's Apprentice (Farseer Trilogy  #1) - 23.03, A Storm of Swords (A Song of Ice and Fire  #3) - 23.03 
Magyk (Septimus Heap  #1)	,  The Hunger Games (The Hunger Games  #1) - 65.31, Catching Fire (The Hunger Games  #2) - 52.25, Flyte (Septimus Heap  #2) - 54.18, The Book Thief - 44.30, Twilight (Twilight  #1) - 41.30, City of Bones (The Mortal Instruments  #1) - 36.56, The Lightning Thief (Percy Jackson and the Olympians  #1) - 32.33, The Graveyard Book - 33.33, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 31.65, Breaking Dawn (Twilight  #4) - 27.91 
Maisie Dobbs (Maisie Dobbs  #1)	,  The Guernsey Literary and Potato Peel Pie Society - 70.24, The Help - 67.78, The Book Thief - 66.04, Birds of a Feather (Maisie Dobbs  #2) - 66.07, The Hunger Games (The Hunger Games  #1) - 56.73, Catching Fire (The Hunger Games  #2) - 57.48, The Girl with the Dragon Tattoo (Millennium  #1) - 54.21, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 51.49, Pardonable Lies (Maisie Dobbs  #3) - 50.66, The Immortal Life of Henrietta Lacks - 42.48 
Major Pettigrew's Last Stand	,  The Help - 73.48, The Hunger Games (The Hunger Games  #1) - 66.07, The Book Thief - 65.17, The Guernsey Literary and Potato Peel Pie Society - 63.07, The Immortal Life of Henrietta Lacks - 51.61, The Girl with the Dragon Tattoo (Millennium  #1) - 49.92, Catching Fire (The Hunger Games  #2) - 47.21, Cutting for Stone - 41.16, Sarah's Key - 37.78, Little Bee - 36.82 
Make Way for Ducklings	,  Where the Wild Things Are - 77.00, The Snowy Day - 70.81, The Graveyard Book - 60.37, Goodnight Moon - 52.23, The Hunger Games (The Hunger Games  #1) - 51.43, Green Eggs and Ham - 32.77, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 31.51, Twilight (Twilight  #1) - 29.58, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 28.46, The Polar Express - 28.46 
Making Money (Discworld  #36; Moist Von Lipwig  #2)	,  Going Postal (Discworld  #33; Moist von Lipwig  #1) - 82.14, The Hunger Games (The Hunger Games  #1) - 65.62, Unseen Academicals (Discworld  #37; Rincewind #8) - 63.18, Thud! (Discworld  #34; City Watch #7) - 56.79, Guards! Guards! (Discworld  #8) - 38.59, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter - Witch - 38.59, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 36.95, The Wee Free Men (Discworld  #30; Tiffany Aching  #1) - 36.98, Catching Fire (The Hunger Games  #2) - 32.81, Wintersmith (Discworld  #35; Tiffany Aching  #3) - 33.73 
Man's Search for Meaning	,  1984 - 83.55, The Hunger Games (The Hunger Games  #1) - 85.34, The Alchemist - 83.95, The Book Thief - 67.42, Catching Fire (The Hunger Games  #2) - 57.79, To Kill a Mockingbird - 57.54, Animal Farm - 51.60, The Road - 48.60, Ender's Game (Ender's Saga  #1) - 50.41, The Help - 48.32 
Manhunt: The 12-Day Chase for Lincoln's Killer	,  The Hunger Games (The Hunger Games  #1) - 73.96, Catching Fire (The Hunger Games  #2) - 50.19, Twilight (Twilight  #1) - 50.19, The Girl with the Dragon Tattoo (Millennium  #1) - 45.34, The Book Thief - 35.29, The Guernsey Literary and Potato Peel Pie Society - 33.94, The Devil in the White City: Murder - Magic - and Madness at the Fair That Changed America - 29.45, The Immortal Life of Henrietta Lacks - 28.85, The Magicians (The Magicians #1) - 28.25, The Da Vinci Code (Robert Langdon  #2) - 22.56 
Maniac Magee	,  The Hunger Games (The Hunger Games  #1) - 76.02, The Giver (The Giver  #1) - 59.14, The Book Thief - 55.63, Catching Fire (The Hunger Games  #2) - 50.01, Twilight (Twilight  #1) - 50.85, The Graveyard Book - 40.84, To Kill a Mockingbird - 36.34, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 36.34, The Lightning Thief (Percy Jackson and the Olympians  #1) - 34.71, Stargirl (Stargirl  #1) - 31.50 
Mansfield Park	,  Pride and Prejudice - 69.38, Emma - 61.94, Persuasion - 58.97, Sense and Sensibility - 60.00, Northanger Abbey - 52.10, The Hunger Games (The Hunger Games  #1) - 48.39, Catching Fire (The Hunger Games  #2) - 40.10, The Book Thief - 36.28, Jane Eyre - 39.20, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 33.65 
Many Lives - Many Masters: The True Story of a Prominent Psychiatrist - His Young Patient - and the Past Life Therapy That Changed Both Their Lives	,  The Hunger Games (The Hunger Games  #1) - 78.57, The Book Thief - 67.86, To Kill a Mockingbird - 0.00, The Help - 0.00, Twilight (Twilight  #1) - 0.00 
Many Waters (A Wrinkle in Time Quintet  #4)	,  A Wrinkle in Time (A Wrinkle in Time Quintet  #1) - 59.87, A Swiftly Tilting Planet (A Wrinkle in Time Quintet  #3) - 53.96, The Hunger Games (The Hunger Games  #1) - 47.53, A Wind in the Door (A Wrinkle in Time Quintet  #2) - 54.08, Catching Fire (The Hunger Games  #2) - 28.52, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 23.37, The Book Thief - 22.93, The Giver (The Giver  #1) - 20.42, Harry Potter and the Goblet of Fire (Harry Potter  #4) - 20.00, Harry Potter and the Prisoner of Azkaban (Harry Potter  #3) - 19.58 
Mao's Last Dancer	,  The Hunger Games (The Hunger Games  #1) - 79.76, Water for Elephants - 79.76, The Help - 72.62, The Book Thief - 72.00, The Girl with the Dragon Tattoo (Millennium  #1) - 69.75, To Kill a Mockingbird - 64.21, Cutting for Stone - 46.76, Catching Fire (The Hunger Games  #2) - 45.00, The Giver (The Giver  #1) - 34.00, The Sweetness at the Bottom of the Pie (Flavia de Luce  #1) - 24.11 
Map of Bones (Sigma Force  #2)	,  Sandstorm (Sigma Force  #1) - 76.72, The Lost Symbol (Robert Langdon  #3) - 46.38, The Hunger Games (The Hunger Games  #1) - 39.02, The Doomsday Key (Sigma Force  #6) - 41.88, The Girl with the Dragon Tattoo (Millennium  #1) - 21.27, The Da Vinci Code (Robert Langdon  #2) - 19.10, The Name of the Wind (The Kingkiller Chronicle  #1) - 16.30, Angels & Demons  (Robert Langdon  #1) - 11.91, Killing Floor (Jack Reacher  #1) - 11.31, Harry Potter and the Half-Blood Prince (Harry Potter  #6) - 7.91 
Marcelo in the Real World	,  The Hunger Games (The Hunger Games  #1) - 80.98, Catching Fire (The Hunger Games  #2) - 70.68, When You Reach Me - 66.67, The Book Thief - 50.70, Graceling (Graceling Realm  #1) - 51.54, If I Stay (If I Stay  #1) - 51.54, The Graveyard Book - 49.84, Thirteen Reasons Why - 46.88, Paper Towns - 47.21, The Absolutely True Diary of a Part-Time Indian - 47.27 
March	,  The Help - 64.64, The Book Thief - 63.94, The Hunger Games (The Hunger Games  #1) - 59.85, Catching Fire (The Hunger Games  #2) - 55.63, The Girl with the Dragon Tattoo (Millennium  #1) - 52.01, The Guernsey Literary and Potato Peel Pie Society - 43.84, People of the Book - 41.94, The Thirteenth Tale - 37.30, Water for Elephants - 37.61, Twilight (Twilight  #1) - 37.92 
Mariana	,  The Winter Sea (Slains  #1) - 72.87, The Hunger Games (The Hunger Games  #1) - 32.92, The Shadowy Horses - 26.33, The Forgotten Garden - 21.49, Outlander (Outlander  #1) - 20.83, The Thirteenth Tale - 17.86, The Help - 16.96, Catching Fire (The Hunger Games  #2) - 16.08, The Book Thief - 14.62, The Maze Runner (Maze Runner  #1) - 9.33 
Mark of the Demon (Kara Gillian  #1)	,  Magic Bites (Kate Daniels  #1) - 68.29, Magic Bleeds (Kate Daniels  #4) - 65.21, Magic Burns (Kate Daniels  #2) - 55.25, Angels' Blood (Guild Hunter  #1) - 51.11, Halfway to the Grave (Night Huntress  #1) - 44.30, Spider's Bite (Elemental Assassin  #1) - 45.70, Some Girls Bite (Chicagoland Vampires  #1) - 41.69, The Hunger Games (The Hunger Games  #1) - 41.69, Skinwalker (Jane Yellowrock  #1) - 40.86, Once Burned (Night Prince  #1) - 39.97 
Marked (House of Night  #1)	,  The Hunger Games (The Hunger Games  #1) - 54.84, Betrayed (House of Night  #2) - 60.33, Twilight (Twilight  #1) - 48.74, Catching Fire (The Hunger Games  #2) - 44.75, Chosen (House of Night  #3) - 51.31, City of Bones (The Mortal Instruments  #1) - 41.69, Breaking Dawn (Twilight  #4) - 35.53, Untamed (House of Night  #4) - 42.56, The Host (The Host  #1) - 30.58, Fallen (Fallen  #1) - 31.17 
Marley and Me: Life and Love With the World's Worst Dog	,  The Hunger Games (The Hunger Games  #1) - 71.08, The Help - 62.78, Twilight (Twilight  #1) - 63.63, The Book Thief - 55.76, Catching Fire (The Hunger Games  #2) - 49.44, Water for Elephants - 45.92, The Girl with the Dragon Tattoo (Millennium  #1) - 46.44, To Kill a Mockingbird - 43.89, The Glass Castle - 36.91, Breaking Dawn (Twilight  #4) - 41.46 
Marvel 1602	,  The Hunger Games (The Hunger Games  #1) - 74.38, Watchmen - 39.34, The Graveyard Book - 33.79, The Girl with the Dragon Tattoo (Millennium  #1) - 29.42, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 28.34, Locke & Key - Vol. 1: Welcome to Lovecraft - 25.19, The Name of the Wind (The Kingkiller Chronicle  #1) - 24.22, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter - Witch - 23.40, The Magicians (The Magicians #1) - 24.44, To Kill a Mockingbird - 22.11 
Mary - Mary (Alex Cross  #11)	,  Catching Fire (The Hunger Games  #2) - 70.00, Cross (Alex Cross  #12) - 70.61, Violets Are Blue (Alex Cross  #7) - 48.47, Double Cross (Alex Cross  #13) - 45.80, Cross Country (Alex Cross  #14) - 45.00, The Girl with the Dragon Tattoo (Millennium  #1) - 42.59, Jack & Jill (Alex Cross  #3) - 44.36, Kiss the Girls (Alex Cross  #2) - 42.86, Roses are Red (Alex Cross  #6) - 40.60, Along Came a Spider (Alex Cross  #1) - 38.89 
Mary Poppins (Mary Poppins  #1)	,  The Hunger Games (The Hunger Games  #1) - 58.73, Catching Fire (The Hunger Games  #2) - 51.00, The Book Thief - 47.24, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 43.99, The Help - 40.02, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 37.50, The Guernsey Literary and Potato Peel Pie Society - 39.35, The Giver (The Giver  #1) - 29.72, A Wrinkle in Time (A Wrinkle in Time Quintet  #1) - 26.04, Twilight (Twilight  #1) - 30.00 
Masquerade (Blue Bloods  #2)	,  Blue Bloods (Blue Bloods  #1) - 70.44, Revelations (Blue Bloods  #3) - 53.97, The Van Alen Legacy (Blue Bloods  #4) - 35.50, City of Bones (The Mortal Instruments  #1) - 31.31, The Hunger Games (The Hunger Games  #1) - 27.84, Catching Fire (The Hunger Games  #2) - 27.37, Hush - Hush (Hush - Hush  #1) - 24.64, City of Ashes (The Mortal Instruments  #2) - 23.12, Twilight (Twilight  #1) - 22.68, Beautiful Creatures (Caster Chronicles  #1) - 21.60 
Master and Commander (Aubrey & Maturin  #1)	,  The Hunger Games (The Hunger Games  #1) - 59.62, A Game of Thrones (A Song of Ice and Fire  #1) - 48.77, Ender's Game (Ender's Saga  #1) - 37.03, The Girl with the Dragon Tattoo (Millennium  #1) - 35.54, Storm Front (The Dresden Files  #1) - 30.00, The Book Thief - 28.12, The Magicians (The Magicians #1) - 23.66, Twilight (Twilight  #1) - 25.94, Catching Fire (The Hunger Games  #2) - 23.81, Pride and Prejudice - 22.18 
Master of Crows (Master of Crows  #1)	,  Soulless (Parasol Protectorate  #1) - 72.83, Magic Bleeds (Kate Daniels  #4) - 59.06, Rosemary and Rue (October Daye  #1) - 46.49, Magic Bites (Kate Daniels  #1) - 39.70, Darkfever (Fever  #1) - 35.30, Poison Study (Study  #1) - 34.56, Outlander (Outlander  #1) - 33.20, Slave to Sensation (Psy-Changeling #1) - 32.55, The Hundred Thousand Kingdoms (Inheritance Trilogy  #1) - 29.95, Dragon Actually (Dragon Kin  #1) - 29.95 
Master of the Game	,  Tell Me Your Dreams - 82.50, If Tomorrow Comes (Tracy Whitney Series  #1) - 59.41, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 8.33, The Book Thief - 7.41, The Da Vinci Code (Robert Langdon  #2) - 0.00, Catching Fire (The Hunger Games  #2) - 0.00, The Girl with the Dragon Tattoo (Millennium  #1) - 0.00, Angels & Demons  (Robert Langdon  #1) - 0.00 
Mastiff (Beka Cooper  #3)	,  The Hunger Games (The Hunger Games  #1) - 77.27, Catching Fire (The Hunger Games  #2) - 77.16, Bloodhound (Beka Cooper  #2) - 68.18, Terrier (Beka Cooper  #1) - 53.53, Graceling (Graceling Realm  #1) - 40.44, Fire (Graceling Realm  #2) - 33.09, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 25.38, City of Bones (The Mortal Instruments  #1) - 25.61, Alanna: The First Adventure (Song of the Lioness  #1) - 21.82, Soulless (Parasol Protectorate  #1) - 21.48 
Match Me If You Can (Chicago Stars  #6)	,  Natural Born Charmer (Chicago Stars  #7) - 84.26, This Heart of Mine (Chicago Stars  #5) - 62.73, It Had to Be You (Chicago Stars  #1) - 60.93, Heaven - Texas (Chicago Stars  #2) - 49.03, Nobody's Baby But Mine (Chicago Stars  #3) - 45.45, Bet Me - 37.92, Dream a Little Dream (Chicago Stars  #4) - 37.19, The Hunger Games (The Hunger Games  #1) - 25.84, Kiss an Angel - 30.52, Devil in Winter (Wallflowers  #3) - 23.66 
Matilda	,  The Hunger Games (The Hunger Games  #1) - 84.17, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 73.20, The Book Thief - 69.32, Catching Fire (The Hunger Games  #2) - 57.10, Harry Potter and the Prisoner of Azkaban (Harry Potter  #3) - 53.53, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 52.66, Harry Potter and the Chamber of Secrets (Harry Potter  #2) - 52.50, Twilight (Twilight  #1) - 53.33, The Lightning Thief (Percy Jackson and the Olympians  #1) - 49.37, The Giver (The Giver  #1) - 47.03 
Matterhorn	,  The Girl with the Dragon Tattoo (Millennium  #1) - 82.35, The Hunger Games (The Hunger Games  #1) - 81.16, Catching Fire (The Hunger Games  #2) - 56.68, The Passage (The Passage  #1) - 55.19, The Help - 46.50, Cutting for Stone - 40.83, The Girl Who Kicked the Hornet's Nest (Millennium  #3) - 42.39, The Book Thief - 36.23, The Girl Who Played with Fire (Millennium  #2) - 33.64, The Brief Wondrous Life of Oscar Wao - 33.75 
Maus I: A Survivor's Tale: My Father Bleeds History (Maus  #1)	,  Maus II: A Survivor's Tale: And Here My Troubles Began (Maus  #2) - 87.50, The Book Thief - 49.24, The Hunger Games (The Hunger Games  #1) - 45.60, Catching Fire (The Hunger Games  #2) - 34.04, The Graveyard Book - 31.86, The Giver (The Giver  #1) - 28.48, The Handmaid's Tale - 26.39, The Perks of Being a Wallflower - 25.68, Looking for Alaska - 25.36, Twilight (Twilight  #1) - 25.10 
Maus II: A Survivor's Tale: And Here My Troubles Began (Maus  #2)	,  Maus I: A Survivor's Tale: My Father Bleeds History (Maus  #1) - 89.55, The Hunger Games (The Hunger Games  #1) - 38.87, Catching Fire (The Hunger Games  #2) - 30.70, The Book Thief - 31.19, Harry Potter and the Sorcerer's Stone (Harry Potter  #1) - 22.69, The Giver (The Giver  #1) - 19.55, The Curious Incident of the Dog in the Night-Time - 19.92, The Graveyard Book - 18.39, Harry Potter and the Deathly Hallows (Harry Potter  #7) - 18.08, The Help - 18.08 
Max (Maximum Ride  #5)	,  The Final Warning (Maximum Ride  #4) - 61.64, Fang (Maximum Ride  #6) - 70.83, Saving the World and Other Extreme Sports (Maximum Ride  #3) - 57.75, School's Out—Forever (Maximum Ride  #2) - 50.74, The Angel Experiment (Maximum Ride  #1) - 56.59, The Hunger Games (The Hunger Games  #1) - 43.54, Catching Fire (The Hunger Games  #2) - 41.20, The Book Thief - 33.27, Twilight (Twilight  #1) - 26.88, City of Bones (The Mortal Instruments  #1) - 26.77 
Mayflower: A Story of Courage - Community - and War	,  The Book Thief - 60.71, The Hunger Games (The Hunger Games  #1) - 47.76, The Help - 42.20, The Road - 38.23, The Girl with the Dragon Tattoo (Millennium  #1) - 36.41, The Guernsey Literary and Potato Peel Pie Society - 34.41, Catching Fire (The Hunger Games  #2) - 24.59, The Immortal Life of Henrietta Lacks - 19.44, The Glass Castle - 19.30, The Great Gatsby - 18.84 
Me & Emma	,  The Hunger Games (The Hunger Games  #1) - 58.65, Water for Elephants - 54.78, The Book Thief - 55.84, The Time Traveler's Wife - 50.00, The Help - 48.41, The Glass Castle - 46.83, My Sister's Keeper - 38.60, The Girl with the Dragon Tattoo (Millennium  #1) - 24.12, Sarah's Key - 26.56, To Kill a Mockingbird - 20.83 
Me Talk Pretty One Day	,  The Hunger Games (The Hunger Games  #1) - 65.30, The Book Thief - 62.89, The Help - 51.75, Catching Fire (The Hunger Games  #2) - 47.52, The Girl with the Dragon Tattoo (Millennium  #1) - 48.26, Water for Elephants - 47.04, The Curious Incident of the Dog in the Night-Time - 43.94, Twilight (Twilight  #1) - 43.35, The Road - 44.18, To Kill a Mockingbird - 41.65 
Me and Mr. Darcy	,  Twilight (Twilight  #1) - 46.97, The Hunger Games (The Hunger Games  #1) - 30.94, Breaking Dawn (Twilight  #4) - 28.85, Catching Fire (The Hunger Games  #2) - 28.00, City of Bones (The Mortal Instruments  #1) - 15.85, Austenland (Austenland  #1) - 14.83, Outlander (Outlander  #1) - 12.92, Shiver (The Wolves of Mercy Falls  #1) - 11.23, New Moon (Twilight  #2) - 11.23, The Guernsey Literary and Potato Peel Pie Society - 10.83 
Meditations	,  The Road - 73.61, The Handmaid's Tale - 75.63, The Book Thief - 63.03, The Hunger Games (The Hunger Games  #1) - 57.99, Siddhartha - 45.76, The Catcher in the Rye - 45.76, 1984 - 40.00, The Curious Incident of the Dog in the Night-Time - 39.05, The Girl with the Dragon Tattoo (Millennium  #1) - 38.10, The Little Prince - 35.20 
